date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:51	3495/3495	---M--	200	added ('OK')	text/html	etag:W/%22da7-W2czNuO6ASmBmJ9BeNdHq+5GTr4%22	https://app-dautien.herokuapp.com/	C:/My%20Web%20Sites/MinhDuy/app-dautien.herokuapp.com/index.html	(from )
11:26:53	3281/3281	---M--	200	added ('OK')	text/html	etag:W/%22cd1-vNfbYCbYR8NZqVrSU0MVig/q188%22	https://app-dautien.herokuapp.com/login	C:/My%20Web%20Sites/MinhDuy/app-dautien.herokuapp.com/login.html	(from )
11:26:57	9592/9592	---M--	200	added ('OK')	text/html	etag:W/%222578-hWJWRxTSWjJuNLQcU8OYjQ3Ugto%22	https://app-dautien.herokuapp.com/order	C:/My%20Web%20Sites/MinhDuy/app-dautien.herokuapp.com/order.html	(from )
11:26:57	149/149	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2006%20May%202021%2004:26:57%20GMT	https://app-dautien.herokuapp.com/robots.txt		(from )
11:26:57	12113/12113	---M--	200	added ('OK')	image/jpeg	etag:W/%222f51-1731dadf6d8%22	https://app-dautien.herokuapp.com/images/header.jpg	C:/My%20Web%20Sites/MinhDuy/app-dautien.herokuapp.com/images/header.jpg	(from https://app-dautien.herokuapp.com/)
11:27:00	3320/3320	---M--	200	added ('OK')	text/html	etag:W/%22cf8-Ggnu49mpvNeXYM5x/VO3ZoDpJjk%22	https://app-dautien.herokuapp.com/staffs	C:/My%20Web%20Sites/MinhDuy/app-dautien.herokuapp.com/staffs.html	(from https://app-dautien.herokuapp.com/)
11:27:01	56/56	---M--	302	error ('Found')	text/html	date:Thu,%2006%20May%202021%2004:27:01%20GMT	https://app-dautien.herokuapp.com/products	C:/My%20Web%20Sites/MinhDuy/app-dautien.herokuapp.com/products	(from https://app-dautien.herokuapp.com/)
11:27:01	22411/22411	---M--	200	added ('OK')	image/jpeg	etag:%22607d3d73-578b%22	https://steamcdn-a.akamaihd.net/steam/apps/578080/header.jpg?t=1592294718	C:/My%20Web%20Sites/MinhDuy/steamcdn-a.akamaihd.net/steam/apps/578080/header5471.jpg	(from https://app-dautien.herokuapp.com/)
11:27:01	67316/67316	---M--	200	added ('OK')	image/jpeg	etag:%2263b22a8fd6123096213cc11fb6320ae1%22	https://img.4gamers.com.tw/ckfinder-vn/image2/auto/2020-05/gta%20v-200514-124209.jpg?versionId=NUQgv830ZsPhxQrpr9eZuFPDi7SK9HSn	C:/My%20Web%20Sites/MinhDuy/img.4gamers.com.tw/ckfinder-vn/image2/auto/2020-05/gta%20v-200514-12420960a8.jpg	(from https://app-dautien.herokuapp.com/)
11:27:02	63494/63494	---M--	200	added ('OK')	image/jpeg	etag:%2299a24c39078d6c339bdca7880c563b2abe73da69%22	https://image.thanhnien.vn/660/uploaded/game/upload/image/article/2016/07/29/b897e7e09f79ecdcbd8cb987c0ab8f6d.jpg	C:/My%20Web%20Sites/MinhDuy/image.thanhnien.vn/660/uploaded/game/upload/image/article/2016/07/29/b897e7e09f79ecdcbd8cb987c0ab8f6d.jpg	(from https://app-dautien.herokuapp.com/)
